Unnamed: 0,ball_x,ball_y,ball_dx,ball_dy,paddle_x,leftHeld,RightHeld
4181,765,355,5,-5,540,True,False
2808,220,270,5,5,320,False,True
1923,535,525,5,-5,560,False,True
2049,415,105,-5,5,200,True,False
1943,635,425,5,-5,570,True,False
2806,210,260,5,5,300,False,True
3832,600,410,5,-5,530,False,True
1450,250,570,-5,-5,170,True,False
2186,270,370,5,-5,420,False,True
2155,115,525,5,-5,110,False,True
610,290,130,5,-5,400,False,True
2862,490,540,5,5,450,False,True
1119,325,95,-5,5,220,True,False
3499,515,245,5,5,590,False,True
2610,770,580,-5,5,690,False,True
2641,615,565,-5,-5,500,True,False
91,725,405,-5,-5,450,True,False
3726,70,220,5,5,30,False,True
525,135,555,-5,-5,90,True,False
1700,580,480,-5,-5,450,True,False
3789,385,535,5,5,340,False,True
351,575,265,5,-5,550,False,True
4079,255,585,5,-5,160,False,True
1558,290,30,5,-5,290,False,True
2813,245,295,5,5,370,False,True
434,590,150,-5,5,320,True,False
3497,505,235,5,5,570,False,True
1244,300,440,5,-5,380,False,True
3946,410,160,-5,5,330,True,False
2144,60,580,5,-5,0,False,True
1217,165,575,5,-5,110,False,True
778,450,450,-5,-5,340,True,False
3579,665,515,-5,-5,620,True,False
1240,280,460,5,-5,340,False,True
217,95,225,-5,5,70,True,False
784,420,420,-5,-5,280,True,False
3068,60,410,-5,5,70,True,False
592,200,220,5,-5,220,False,True
588,180,240,5,-5,180,False,True
2368,400,540,-5,5,390,True,False
3828,580,430,5,-5,490,False,True
2500,260,40,5,5,190,False,True
1216,160,580,5,-5,100,False,True
296,300,540,5,-5,250,False,True
311,375,465,5,-5,400,False,True
2575,635,415,5,5,640,False,True
2806,210,260,5,5,300,False,True
3594,590,440,-5,-5,470,True,False
2498,250,30,5,5,170,False,True
2920,780,330,5,-5,570,True,False
87,745,425,-5,-5,490,True,False
2941,695,225,-5,-5,360,True,False
594,210,210,5,-5,240,False,True
1573,365,45,5,5,440,False,True
3611,505,355,-5,-5,300,True,False
406,730,10,-5,5,600,True,False
3572,700,550,-5,-5,690,True,False
1906,450,550,5,5,390,False,True
2498,250,30,5,5,170,False,True
2509,305,85,5,5,280,False,True
2701,315,265,-5,-5,270,True,False
2532,420,200,5,5,510,False,True
22,510,410,5,5,390,False,True
436,580,160,-5,5,300,True,False
1120,320,100,-5,5,210,True,False
2328,600,340,-5,5,480,True,False
1980,760,240,-5,-5,390,True,False
4129,505,585,5,-5,470,False,True
973,525,525,5,5,460,False,True
94,710,390,-5,-5,420,True,False
2704,300,250,-5,-5,240,True,False
94,710,390,-5,-5,420,True,False
3623,445,295,-5,-5,180,True,False
2515,335,115,5,5,340,False,True
363,635,205,5,-5,670,False,True
4099,355,585,5,-5,260,False,True
346,550,290,5,-5,500,False,True
1102,410,10,-5,5,390,True,False
4197,735,275,-5,-5,380,True,False
3039,205,265,-5,5,170,True,False
3040,200,270,-5,5,160,True,False
345,545,295,5,-5,490,False,True
1411,445,395,-5,5,270,True,False
1413,435,405,-5,5,250,True,False
1543,215,105,5,-5,140,False,True
1413,435,405,-5,5,250,True,False
790,390,390,-5,-5,220,True,False
3962,330,240,-5,5,170,True,False
3778,330,480,5,5,230,False,True
4187,785,325,-5,-5,480,True,False
3963,325,245,-5,5,160,True,False
3118,190,500,5,-5,200,False,True
3964,320,250,-5,5,150,True,False
2054,390,130,-5,5,150,True,False
111,625,305,-5,-5,250,True,False
2165,165,475,5,-5,210,False,True
3933,475,95,-5,5,460,True,False
1404,480,360,-5,5,340,True,False
4052,120,580,5,5,40,False,True
2927,765,295,-5,-5,500,True,False
3119,195,495,5,-5,210,False,True
251,75,395,5,5,40,False,True
1446,270,570,-5,5,210,True,False
1861,225,325,5,5,300,False,True
3825,565,445,5,-5,460,False,True
1397,515,325,-5,5,410,True,False
2625,695,585,-5,-5,660,True,False
3457,305,35,5,5,170,False,True
2576,640,420,5,5,650,False,True
3301,475,415,-5,5,470,True,False
439,565,175,-5,5,270,True,False
3126,230,460,5,-5,280,False,True
2530,410,190,5,5,490,False,True
420,660,80,-5,5,460,True,False
116,600,280,-5,-5,200,True,False
82,770,450,-5,-5,540,True,False
3965,315,255,-5,5,140,True,False
3723,55,205,5,5,0,False,True
